euctr_id,other_id,field,provenance
2008-001849-26,NA,ISRCTN number,results_page
2008-001770-33,NA,US NCT number,download
2008-001770-33,NA,other,downlaod
2008-001770-33,NA,US NCT number,results_page
2008-001770-33,NA,ISRCTN number,results_page
2008-000653-36,NA,US NCT number,download
2008-000653-36,NA,other,downlaod
2008-000653-36,NA,US NCT number,results_page
2008-000653-36,NA,ISRCTN number,results_page
2008-000247-34,NA,US NCT number,download
2008-000247-34,NA,other,downlaod
2008-000247-34,NA,US NCT number,results_page
2008-000247-34,NA,ISRCTN number,results_page
2007-007657-31,NA,US NCT number,download
2007-007657-31,NA,other,downlaod
2007-007657-31,NA,US NCT number,results_page
2007-007657-31,NA,ISRCTN number,results_page
2007-007637-39,NA,US NCT number,download
2007-007637-39,NA,other,downlaod
2007-007637-39,NA,US NCT number,results_page
2007-007637-39,NA,ISRCTN number,results_page
2007-007011-85,NA,US NCT number,download
2007-007011-85,NA,other,downlaod
2007-007011-85,NA,US NCT number,results_page
2007-007011-85,NA,ISRCTN number,results_page
2007-006438-33,NA,US NCT number,download
2007-006438-33,NA,other,downlaod
2007-006438-33,NA,US NCT number,results_page
2007-006438-33,NA,ISRCTN number,results_page
2007-006126-10,NA,US NCT number,download
2007-006126-10,NA,other,downlaod
2007-006126-10,NA,US NCT number,results_page
2007-006126-10,NA,ISRCTN number,results_page
2007-005475-34,NA,US NCT number,download
2007-005475-34,NA,other,downlaod
2007-005475-34,NA,US NCT number,results_page
2007-005475-34,NA,ISRCTN number,results_page
2007-004674-49,NA,US NCT number,download
2007-004674-49,NA,other,downlaod
2007-004674-49,NA,US NCT number,results_page
2007-004674-49,NA,ISRCTN number,results_page
2007-004401-10,NA,US NCT number,download
2007-004401-10,clinical trials NCT 00670254,other,downlaod
2007-004401-10,NCT00670254,US NCT number,results_page
2007-004401-10,NA,ISRCTN number,results_page
2007-004150-85,NA,US NCT number,download
2007-004150-85,NA,other,downlaod
2007-004150-85,NA,US NCT number,results_page
2007-004150-85,NA,ISRCTN number,results_page
2007-004134-16,NA,US NCT number,download
2007-004134-16,NA,other,downlaod
2007-004134-16,NA,US NCT number,results_page
2007-004134-16,NA,ISRCTN number,results_page
2007-003813-15,NA,US NCT number,download
2007-003813-15,NA,other,downlaod
2007-003813-15,NA,US NCT number,results_page
2007-003813-15,NA,ISRCTN number,results_page
2007-003775-39,NA,US NCT number,download
2007-003775-39,NA,other,downlaod
2007-003775-39,NA,US NCT number,results_page
2007-003775-39,NA,ISRCTN number,results_page
2007-003111-31,NA,US NCT number,download
2007-003111-31,ARTVI ARTVI,other,downlaod
2007-003111-31,NA,US NCT number,results_page
2007-003111-31,NA,ISRCTN number,results_page
2007-002967-28,NA,US NCT number,download
2007-002967-28,NA,other,downlaod
2007-002967-28,NA,US NCT number,results_page
2007-002967-28,NA,ISRCTN number,results_page
2007-002223-32,NA,US NCT number,download
2007-002223-32,NA,other,downlaod
2007-002223-32,NA,US NCT number,results_page
2007-002223-32,NA,ISRCTN number,results_page
2007-002023-32,NA,US NCT number,download
2007-002023-32,NA,other,downlaod
2007-002023-32,NA,US NCT number,results_page
2007-002023-32,NA,ISRCTN number,results_page
2007-001787-71,NA,US NCT number,download
2007-001787-71,NA,other,downlaod
2007-001787-71,NA,US NCT number,results_page
2007-001787-71,NA,ISRCTN number,results_page
2007-001677-28,NA,US NCT number,download
2007-001677-28,NA,other,downlaod
2007-001677-28,NA,US NCT number,results_page
2007-001677-28,NA,ISRCTN number,results_page
2007-000718-35,NA,US NCT number,download
2007-000718-35,NA,other,downlaod
2007-000718-35,NA,US NCT number,results_page
2007-000718-35,NA,ISRCTN number,results_page
2007-000579-40,NA,US NCT number,download
2007-000579-40,NA,other,downlaod
2007-000579-40,NA,US NCT number,results_page
2007-000579-40,NA,ISRCTN number,results_page
2007-000512-82,NA,US NCT number,download
2007-000512-82,NA,other,downlaod
2007-000512-82,NA,US NCT number,results_page
2007-000512-82,NA,ISRCTN number,results_page
2006-006516-30,NA,US NCT number,download
2006-006516-30,NA,other,downlaod
2006-006516-30,NA,US NCT number,results_page
2006-006516-30,NA,ISRCTN number,results_page
2006-006323-39,NA,US NCT number,download
2006-006323-39,NA,other,downlaod
2006-006323-39,NA,US NCT number,results_page
2006-006323-39,NA,ISRCTN number,results_page
2006-006088-22,NA,US NCT number,download
2006-006088-22,NA,other,downlaod
2006-006088-22,NCT02158988,US NCT number,results_page
2006-006088-22,NA,ISRCTN number,results_page
2006-005710-12,NA,US NCT number,download
2006-005710-12,NA,other,downlaod
2006-005710-12,NA,US NCT number,results_page
2006-005710-12,NA,ISRCTN number,results_page
2006-005262-39,NA,US NCT number,download
2006-005262-39,NA,other,downlaod
2006-005262-39,NA,US NCT number,results_page
2006-005262-39,NA,ISRCTN number,results_page
2006-004891-10,NA,US NCT number,download
2006-004891-10,NA,other,downlaod
2006-004891-10,NA,US NCT number,results_page
2006-004891-10,NA,ISRCTN number,results_page
2006-004860-29,NA,US NCT number,download
2006-004860-29,NA,other,downlaod
2006-004860-29,NA,US NCT number,results_page
2006-004860-29,NA,ISRCTN number,results_page
2006-004628-34,NA,US NCT number,download
2006-004628-34,NA,other,downlaod
2006-004628-34,NA,US NCT number,results_page
2006-004628-34,NA,ISRCTN number,results_page
2006-004290-97,NA,US NCT number,download
2006-004290-97,NA,other,downlaod
2006-004290-97,NA,US NCT number,results_page
2006-004290-97,NA,ISRCTN number,results_page
2006-004162-13,NA,US NCT number,download
2006-004162-13,NA,other,downlaod
2006-004162-13,NA,US NCT number,results_page
2006-004162-13,NA,ISRCTN number,results_page
2006-003999-35,NA,US NCT number,download
2006-003999-35,NA,other,downlaod
2006-003999-35,NA,US NCT number,results_page
2006-003999-35,NA,ISRCTN number,results_page
2006-003686-13,NA,US NCT number,download
2006-003686-13,NA,other,downlaod
2006-003686-13,NA,US NCT number,results_page
2006-003686-13,NA,ISRCTN number,results_page
2006-003470-10,NA,US NCT number,download
2006-003470-10,NA,other,downlaod
2006-003470-10,NA,US NCT number,results_page
2006-003470-10,NA,ISRCTN number,results_page
2006-003146-41,NA,US NCT number,download
2006-003146-41,NA,other,downlaod
2006-003146-41,NA,US NCT number,results_page
2006-003146-41,NA,ISRCTN number,results_page
2006-002306-64,NA,US NCT number,download
2006-002306-64,NA,other,downlaod
2006-002306-64,NA,US NCT number,results_page
2006-002306-64,NA,ISRCTN number,results_page
2006-001528-38,NA,US NCT number,download
2006-001528-38,NA,other,downlaod
2006-001528-38,NA,US NCT number,results_page
2006-001528-38,NA,ISRCTN number,results_page
2006-000815-24,NA,US NCT number,download
